Name  ,S  [%]
Blnk,0
Blnk,0
RunIn,0.5648
RunIn,0.5541
b2150,0.62
b2150,0.62
Missoil-1,0.0368
Missoil-2,0.031
Missoil-3,0.0277
Missoil-4,0.0218
Missoil-5,0.0185
Missoil-6,0.0175
Missoil-7,0.0162
Missoil-8,0.0174
Missoil-9,0.0141
Missoil-10,0.0175
Blnk,0
b2150,0.62
b2150,0.62
HogI-M1,0.0295
HogI-M2,0.0182
HogI-M3,0.0154
HogI-T1,0.0284
HogI-T2,0.0317
HogI-T3,0.0417
HogI-B1,0.0129
HogI-B2,0.0143
HogI-B3,0.0133
Blnk,0
b2150,0.62
b2150,0.62
GCup-A1,0.027
GCup-A2,0.0271
GCup-A3,0.0314
GCup-AB1,0.0234
GCup-AB2,0.0169
GCup-AB3,0.0148
GCup-B1,0.0098
GCup-B2,0.0112
GCup-B3,0.013
Blnk,0
b2150,0.62
b2150,0.62
